transactionid,trade_time,total_price,house_id,agent_id
2.02E+11,20160715,272,700166,10821
2.02E+11,20160814,249.5,700167,10939
2.02E+11,20160816,268,700168,12028
2.02E+11,20160722,187,100169,10312
2.02E+11,20160731,202.6,800170,11144
2.02E+11,20160822,252,700171,11144
2.02E+11,20160903,251,800172,11144
2.02E+11,20160908,218,400173,11144
2.02E+11,20160711,1120,400174,10821
2.02E+11,20161018,292,700175,10183
2.02E+11,20160730,235,900176,10821
2.02E+11,20160812,239,500177,10897
2.02E+11,20161020,490,700178,10183
2.02E+11,20161023,380.8,100179,10183
2.02E+11,20161110,422,500180,10183
2.02E+11,20160717,283,700181,11144
2.02E+11,20160731,400,400182,11144
2.02E+11,20160807,536,500183,11144
2.02E+11,20160831,255,100184,11144
2.02E+11,20160710,720,300185,10939
2.02E+11,20160929,520,700186,10183
2.02E+11,20161220,603,700187,10183
2.02E+11,20160923,410,400188,10897
2.02E+11,20160727,260,100189,12028
2.02E+11,20160820,419,900190,12028
2.02E+11,20160925,408,900191,11980
2.02E+11,20161117,466,400192,11144
2.02E+11,20160619,610,100193,11980
2.02E+11,20160810,345,200194,10897
2.02E+11,20161122,394,500195,10183
2.02E+11,20160728,776,700196,10897
2.02E+11,20160802,808,800197,11144
2.02E+11,20160809,500,400198,11144
2.02E+11,20160907,828,400199,10183
2.02E+11,20160930,515,100200,10183
2.02E+11,20160816,728,900201,10897
2.02E+11,20160823,722,700202,10897
2.02E+11,20160925,858,200203,10183
2.02E+11,20160926,420,600204,10183
2.02E+11,20160730,223,500205,12028
2.02E+11,20160814,318,300206,10897
2.02E+11,20160817,295,100207,10897
2.02E+11,20160921,325,400208,10183
2.02E+11,20161009,376.5,600209,10183
2.02E+11,20160629,649,700210,11346
2.02E+11,20160729,438,100211,10821
2.02E+11,20160830,394,500212,10897
2.02E+11,20160904,458,100213,11144
2.02E+11,20160703,222,700214,10409
2.02E+11,20160715,308,300215,10939
2.02E+11,20160717,315,200216,10939
2.02E+11,20160723,300,800217,11980
2.02E+11,20160809,340,500218,11980
2.02E+11,20160811,340,900219,11980
2.02E+11,20160825,434,300220,11980
2.02E+11,20160826,445,500221,10312
2.02E+11,20160907,247.5,600222,11144
2.02E+11,20160914,301,700223,11144
2.02E+11,20160928,285,300224,11144
2.02E+11,20161106,370,200225,10183
2.02E+11,20160830,468,100226,10897
2.02E+11,20160928,404,300227,10183
2.02E+11,20160705,285,200228,10939
2.02E+11,20160710,342,400229,11980
2.02E+11,20160921,375,100230,10183
2.02E+11,20160621,845,900231,10409
2.02E+11,20160629,695,500232,11980
2.02E+11,20160630,372.5,600233,10821
2.02E+11,20161004,510,800234,10183
2.02E+11,20160827,1300,600235,12028
2.02E+11,20160619,638,300236,11346
2.02E+11,20160722,652,900237,12028
2.02E+11,20160727,590,700238,12028
2.02E+11,20160907,338,400239,10183
2.02E+11,20161120,410,100240,10183
2.02E+11,20160623,740,700241,10409
2.02E+11,20160805,372,500242,10312
2.02E+11,20160810,200,200243,10897
2.02E+11,20160811,419,700244,10897
2.02E+11,20160917,450,100245,10183
2.02E+11,20160923,402,300246,10183
2.02E+11,20160822,418,300247,10312
2.02E+11,20160722,219,400248,12028
2.02E+11,20160617,253,400249,11346
2.02E+11,20160702,360,600250,10312
2.02E+11,20160715,252,100251,12028
2.02E+11,20160715,178.5,300252,12028
2.02E+11,20160717,230,800253,12028
2.02E+11,20160728,240,900254,10897
2.02E+11,20160731,225,900255,10897
2.02E+11,20161221,260,900256,10183
2.02E+11,20161230,388,700257,10183
2.02E+11,20170102,322,700258,10183
2.02E+11,20160826,395,100259,12028
2.02E+11,20160726,616,300260,10939
2.02E+11,20161027,580,700261,10183
2.02E+11,20160731,216.5,300262,11144
2.02E+11,20160830,301,200263,10183
2.02E+11,20160719,270,100264,10897
2.02E+11,20160830,328,700265,10571
2.02E+11,20160831,780,100266,10757
2.02E+11,20160918,975,200267,10571
2.02E+11,20160925,1070,500268,10571
2.02E+11,20160630,369,900269,10571
2.02E+11,20170111,580,700270,10757
2.02E+11,20160714,298,100271,10571
2.02E+11,20160807,485,400272,10757
2.02E+11,20160827,430,400273,10757
2.02E+11,20161124,160,600274,10757
2.02E+11,20160921,675,200275,10757
2.02E+11,20160831,618,800276,10571
2.02E+11,20160912,539,200277,10571
2.02E+11,20160927,400,400278,10757
2.02E+11,20161125,730,300279,10757
2.02E+11,20161127,730,400280,10757
2.02E+11,20160917,595,200281,10571
2.02E+11,20161116,576,800282,10757
2.02E+11,20160831,925,500283,10571
2.02E+11,20160811,419.5,200284,10571
2.02E+11,20160812,323,100285,10571
2.02E+11,20160906,515,400286,10757
2.02E+11,20160918,419,100287,10757
2.02E+11,20161009,397,600288,10757
2.02E+11,20160915,245,700289,10571
2.02E+11,20160918,300,300290,10757
2.02E+11,20160918,375,700291,10757
2.02E+11,20160921,437,900292,10757
2.02E+11,20160927,328,100293,10757
2.02E+11,20161108,290,100294,10757
2.02E+11,20161126,330,400295,10757
2.02E+11,20161128,440,300296,10757
2.02E+11,20160822,382,800297,10571
2.02E+11,20160829,295,400298,10571
2.02E+11,20160914,590,100299,10757
2.02E+11,20160920,251,300300,10757
2.02E+11,20160929,305,800301,10757
2.02E+11,20160930,490,900302,10757
2.02E+11,20160930,318,500303,10757
2.02E+11,20161014,405,300304,10757
2.02E+11,20161015,400,500305,10757
2.02E+11,20161016,600,400306,10757
2.02E+11,20161210,633,100307,10757
2.02E+11,20161220,635,200308,10757
2.02E+11,20160929,655,400309,10571
2.02E+11,20160928,313,700310,10571
2.02E+11,20161123,310,500311,10757
2.02E+11,20161113,545,900312,10571
2.02E+11,20161114,410,900313,10571
2.02E+11,20161119,412,300314,10571
2.02E+11,20161211,350,100315,10757
2.02E+11,20161213,410.5,600316,10757
2.02E+11,20161218,405,200317,10757
2.02E+11,20161229,418,700318,10757
2.02E+11,20160923,480,300319,10571
2.02E+11,20160714,392,700320,10571
