"r$house.id","r$square","house_type.id","buildingType","constructionTime","renovationCondition","floor","ladderRatio","as.character(r$cjxiaoqu)"
730262,181.09,4212,3,2010,4,27,0.5,"莲花池南里"
930263,64.99,1211,3,2007,4,28,0.4,"莲花池南里"
930264,53.66,1011,3,2005,4,16,0.154,"尚西泊图"
530265,66,2111,3,2005,4,16,0.333,"尚西泊图"
930266,53.35,1011,3,2005,4,12,0.143,"尚西泊图"
630267,53.35,1011,3,2005,3,16,0.154,"尚西泊图"
830268,53.35,1011,3,2005,4,16,0.154,"尚西泊图"
130269,60.87,2111,1,1995,3,6,0.071,"双榆树南里二区"
630270,71.4,1111,1,2004,4,26,0.25,"丽泽雅园"
130271,135,3212,1,2001,1,23,0.333,"丽泽雅园"
730272,53.48,1111,1,2004,4,26,0.25,"丽泽雅园"
930273,71.4,1111,1,2004,3,26,0.25,"丽泽雅园"
930274,91.99,2211,1,2004,3,24,0.25,"乐城"
230275,101.71,2211,1,2004,4,24,0.25,"乐城"
730276,129.79,3212,4,2004,1,11,0.5,"乐城"
930277,55.06,1111,1,2006,4,21,0.235,"碧桂园小区C区"
530278,19.08,1001,4,1980,3,6,0.333,"糖人街"
430279,52.12,2111,4,1979,2,6,0.5,"糖人街"
330280,69.39,3111,4,1995,4,6,0.5,"糖人街"
430281,45.18,1111,4,1990,3,6,0.333,"糖人街"
130282,36.7,1111,4,1990,2,6,0.25,"糖人街"
130283,41.7,1111,4,1990,4,6,0.333,"糖人街"
530284,47.53,1111,4,1994,3,6,0.5,"糖人街"
230285,102.17,2112,4,2004,4,11,0.25,"红山世家"
730286,35.07,1001,3,2008,1,18,0.133,"丽水莲花"
330287,40.19,1011,3,2003,4,10,0.095,"太桥小区"
530288,33.1,2011,3,2003,4,10,0.095,"太桥小区"
930289,40.19,1011,3,2003,4,10,0.095,"太桥小区"
330290,40.09,1011,3,2003,4,10,0.095,"太桥小区"
130291,110,2211,3,2005,3,11,0.25,"太桥小区"
830292,102.37,2212,4,2004,1,6,0.5,"太桥小区"
730293,99.14,2211,3,2005,4,11,0.25,"太桥小区"
830294,162.42,4213,4,2004,1,10,0.5,"太桥小区"
830295,73.5,1111,4,2003,4,6,0.5,"太桥小区"
230296,102,2211,4,2005,4,11,0.333,"太桥小区"
330297,58.52,1011,4,2005,3,11,0.2,"太桥东里"
